precision,recall,f1,jaccard,algorithm,image
0.02167921779275721,0.5330168321104877,0.041663855340395385,0.021275129631862736,roberts,304074
0.022115846544506212,0.5563228312473025,0.042540552136103374,0.021732533045589426,sobel,304074
0.023998352044494797,0.30168321104876994,0.04445999236738328,0.022735404130752968,canny,304074
0.021538864552559194,0.4803635183382019,0.041229072067303675,0.021048439855505304,roberts,42012
0.02217761883896137,0.5092502434274586,0.04250419894890827,0.02171355817268437,sobel,42012
0.022121979855403817,0.2323920804933463,0.040398341185431764,0.020615588379257723,canny,42012
0.016928042662175912,0.5370061213132999,0.032821454687686005,0.016684532660188805,roberts,145053
0.01739763852890854,0.5715080690038954,0.03376734398632209,0.017173625859099345,sobel,145053
0.018506912442396314,0.2793544796883695,0.03471405850217827,0.017663617171006334,canny,145053
0.014091762022149453,0.29015151515151516,0.026878136074949998,0.013622136861573481,roberts,103006
0.014145930296478176,0.2924242424242424,0.02698640192959765,0.01367775769816803,sobel,103006
0.016715896885069817,0.18863636363636363,0.030710409472126294,0.015594663994488632,canny,103006
0.012389172685103634,0.09291061206516953,0.02186301937623044,0.011052328322246084,roberts,100080
0.013813286508633305,0.10391897842360194,0.024385203554453398,0.012343096234309623,sobel,100080
0.012864169504351116,0.04491413474240423,0.02,0.010101010101010102,canny,100080
0.029141465713612442,0.13730569948186527,0.04807879219853561,0.02463152303810915,roberts,160006
0.028963980690679538,0.14433752775721687,0.04824642790870291,0.024719528427457692,sobel,160006
0.032148012071906575,0.09067357512953368,0.04746682166037004,0.024310379043461006,canny,160006
0.006129649563449348,0.10649350649350649,0.01159207215358082,0.0058298259583665114,roberts,374020
0.007374544599835468,0.1303896103896104,0.013959567309029225,0.007028843461215346,sobel,374020
0.007514900233221042,0.07532467532467532,0.013666352497643733,0.006880189798339265,canny,374020
0.02195816028303338,0.25930971843778383,0.04048783946678011,0.02066220372715759,roberts,46076
0.02075348904476101,0.26067211625794734,0.03844608171466846,0.01959980878235334,sobel,46076
0.021341730079594157,0.11080835603996367,0.03579024569123579,0.018221193338809647,canny,46076
0.040958923446101726,0.7835283528352835,0.0778483276694688,0.04050061646544304,roberts,76002
0.04197978453666204,0.8233573357335734,0.07988646907919875,0.04160507584199395,sobel,76002
