algorithm,image_resolution,time_taken
Roberts,1000x1000,8.417897708015516
Sobel,1000x1000,8.074797542067245
Canny,1000x1000,2.1579464160604402
Roberts,100x100,0.07157758297398686
Sobel,100x100,0.07400491693988442
Canny,100x100,0.01903091697022319
Roberts,1020x1020,8.474538292037323
Sobel,1020x1020,8.695913750096224
Canny,1020x1020,2.1109453750541434
Roberts,1040x1040,8.584758167038672
Sobel,1040x1040,9.19744829100091
Canny,1040x1040,2.777156790951267
Roberts,1060x1060,10.41362437501084
Sobel,1060x1060,10.586464375024661
Canny,1060x1060,2.85071829194203
Roberts,1080x1080,11.12086437502876
Sobel,1080x1080,10.46971691690851
Canny,1080x1080,2.5185841250931844
Roberts,1100x1100,10.425294916029088
Sobel,1100x1100,11.065819874987938
Canny,1100x1100,2.4359652909915894
Roberts,1120x1120,10.233772834064439
Sobel,1120x1120,10.998838208965026
Canny,1120x1120,2.6070983750978485
Roberts,1140x1140,10.564463749993593
Sobel,1140x1140,10.495050375000574
Canny,1140x1140,2.679601209005341
Roberts,1160x1160,11.568357749958523
Sobel,1160x1160,11.618711292045191
Canny,1160x1160,2.7872521668905392
Roberts,1180x1180,12.36346137500368
Sobel,1180x1180,12.050680125015788
Canny,1180x1180,3.10403570800554
Roberts,1200x1200,11.816768791992217
Sobel,1200x1200,11.89777033298742
Canny,1200x1200,2.969148249947466
Roberts,120x120,0.11774483299814165
Sobel,120x120,0.10784187505487353
Canny,120x120,0.02531270799227059
Roberts,1220x1220,12.812156583066098
Sobel,1220x1220,12.439811292104423
Canny,1220x1220,3.0613670829916373
Roberts,1240x1240,12.318803666974418
Sobel,1240x1240,13.38009562494699
Canny,1240x1240,7.850082625052892
Roberts,1260x1260,12.657779500004835
Sobel,1260x1260,10.649093042011373
Canny,1260x1260,2.57086383306887
Roberts,1280x1280,10.739078292041086
Sobel,1280x1280,10.23998195794411
Canny,1280x1280,2.5712292079115286
Roberts,1300x1300,11.360885125002824
Sobel,1300x1300,12.271390666021034
Canny,1300x1300,2.7802779999328777
Roberts,1320x1320,11.515651916968636
Sobel,1320x1320,11.47337070805952
Canny,1320x1320,2.91684287507087
Roberts,1340x1340,12.056129625067115
Sobel,1340x1340,14.641850625048392
Canny,1340x1340,3.3477786250878125
Roberts,1360x1360,13.139360165921971
Sobel,1360x1360,14.473802875028923
Canny,1360x1360,3.3465316670481116
Roberts,1380x1380,13.192274333909154
Sobel,1380x1380,13.754513874999247
Canny,1380x1380,3.8250794160412624
Roberts,1400x1400,13.436454875045456
Sobel,1400x1400,14.161571249947883
Canny,1400x1400,3.4816170829581097
Roberts,140x140,0.12320583395194262
Sobel,140x140,0.11417162499856204
Canny,140x140,0.029389375005848706
Roberts,1420x1420,14.633127207984217
Sobel,1420x1420,13.497441041050479
Canny,1420x1420,3.6763906669802964
Roberts,1440x1440,15.519667625078
Sobel,1440x1440,13.537182666943409
Canny,1440x1440,3.335078625008464
Roberts,1460x1460,17.716528916964307
Sobel,1460x1460,14.878790708025917
Canny,1460x1460,3.3502749589970335
Roberts,1480x1480,13.644471082952805
Sobel,1480x1480,15.806871750042774
Canny,1480x1480,4.361792790936306
Roberts,1500x1500,16.000489666010253
Sobel,1500x1500,16.440782792051323
Canny,1500x1500,4.045838166028261
Roberts,1520x1520,16.27377695904579
Sobel,1520x1520,15.803142542019486
Canny,1520x1520,4.187011457979679
Roberts,1540x1540,16.116721750004217
Sobel,1540x1540,17.32728850003332
Canny,1540x1540,4.5279802499571815
Roberts,1560x1560,19.451981541933492
Sobel,1560x1560,16.622870000079274
Canny,1560x1560,4.44691708299797
Roberts,1580x1580,18.32030224998016
Sobel,1580x1580,20.703513667103834
Canny,1580x1580,4.59024195803795
Roberts,1600x1600,19.873304749955423
Sobel,1600x1600,18.16866512503475
Canny,1600x1600,4.453538457979448
Roberts,160x160,0.18273308302741498
Sobel,160x160,0.15392916603013873
Canny,160x160,0.03809920803178102
Roberts,1620x1620,18.417552667087875
Sobel,1620x1620,18.16218658303842
Canny,1620x1620,4.451899208012037
Roberts,1640x1640,18.880276791984215
Sobel,1640x1640,19.415061917039566
Canny,1640x1640,4.591189667000435
Roberts,1660x1660,18.16332433396019
Sobel,1660x1660,18.289217332960106
Canny,1660x1660,5.197949999943376
Roberts,1680x1680,18.019971500034444
Sobel,1680x1680,18.24071212497074
Canny,1680x1680,4.5983298749197274
Roberts,1700x1700,19.065407957998104
Sobel,1700x1700,18.504266250063665
Canny,1700x1700,4.664565917104483
Roberts,1720x1720,18.57146979193203
Sobel,1720x1720,19.08329274994321
Canny,1720x1720,4.759932332905009
Roberts,1740x1740,18.88557249994483
Sobel,1740x1740,19.276999249937944
Canny,1740x1740,4.825722792069428
Roberts,1760x1760,20.60985200002324
Sobel,1760x1760,19.784649041946977
Canny,1760x1760,5.061248000012711
Roberts,1780x1780,20.01344587490894
Sobel,1780x1780,20.332135915989056
Canny,1780x1780,5.277086750022136
Roberts,1800x1800,20.30928225000389
Sobel,1800x1800,20.934740750002675
Canny,1800x1800,5.649652749998495
Roberts,180x180,0.21338754205498844
Sobel,180x180,0.2065565000521019
Canny,180x180,0.050258458009921014
Roberts,1820x1820,25.22270749998279
Sobel,1820x1820,20.634942124946974
Canny,1820x1820,5.772887084051035
Roberts,1840x1840,21.570198499946855
Sobel,1840x1840,21.27055770799052
Canny,1840x1840,5.374317666050047
Roberts,1860x1860,21.592048916965723
Sobel,1860x1860,22.266952833044343
